time,Anum,Bnum,Aact,Bact,Bcum,inventory,refilled
367.46774193548384,7.631226621289152e+16,1.3210576623035444e+16,41088454020.32511,10705286592.578728,776064318515.1552,10242466108.149912,4646981510.912997
367.508064516129,7.636137171802662e+16,1.3316324407413856e+16,41114893666.138535,10790980076.71682,776064318515.1552,10242466108.149912,4646981510.912997
367.5483870967742,7.641038519718562e+16,1.3421865963932426e+16,41141283762.839134,10876506442.612762,776064318515.1552,10242466108.149912,4646981510.912997
367.58870967741933,7.645930682282934e+16,1.352720170177068e+16,41167624403.2842,10961866021.848158,776064318515.1552,10242466108.149912,4646981510.912997
367.6290322580645,7.650813676709568e+16,1.3632332029277802e+16,41193915680.15711,11047059145.331726,776064318515.1552,10242466108.149912,4646981510.912997
367.6693548387097,7.655687520179965e+16,1.373725735397343e+16,41220157685.96742,11132086143.299963,776064318515.1552,10242466108.149912,4646981510.912997
367.7096774193548,7.660552229843432e+16,1.3841978082549874e+16,41246350513.05134,11216947345.318933,776064318515.1552,10242466108.149912,4646981510.912997
367.75,7.665407822817157e+16,1.3946494620874268e+16,41272494253.57213,11301643080.28601,776064318515.1552,10242466108.149912,4646981510.912997
367.7903225806452,7.67025431618623e+16,1.4050807373989402e+16,41298588999.52023,11386173676.43056,776064318515.1552,10242466108.149912,4646981510.912997
367.8306451612903,7.675091727003723e+16,1.415491674611593e+16,41324634842.713715,11470539461.315716,776064318515.1552,10242466108.149912,4646981510.912997
367.8709677419355,7.679920072290768e+16,1.4258823140654476e+16,41350631874.79864,11554740761.840107,776064318515.1552,10242466108.149912,4646981510.912997
367.91129032258067,7.684739369036578e+16,1.4362526960186492e+16,41376580187.24923,11638777904.23853,776064318515.1552,10242466108.149912,4646981510.912997
367.9516129032258,7.689549634198531e+16,1.4466028606476424e+16,41402479871.36831,11722651214.083715,776064318515.1552,10242466108.149912,4646981510.912997
367.991935483871,7.694350884702243e+16,1.4569328480473828e+16,41428331018.28767,11806361016.28805,776064318515.1552,10242466108.149912,4646981510.912997
368.03225806451616,7.699143137441594e+16,1.467242698231423e+16,41454133718.968216,11889907635.104254,776064318515.1552,10242466108.149912,4646981510.912997
368.0725806451613,7.703926409278797e+16,1.4775324511321222e+16,41479888064.20039,11973291394.1271,776064318515.1552,10242466108.149912,4646981510.912997
368.11290322580646,7.708700717044494e+16,1.4878021466008646e+16,41505594144.60462,12056512616.29517,776064318515.1552,10242466108.149912,4646981510.912997
368.1532258064516,7.71346607753775e+16,1.4980518244081216e+16,41531252050.63131,12139571623.891363,776064318515.1552,10242466108.149912,4646981510.912997
368.19354838709677,7.718222507526184e+16,1.5082815242437432e+16,41556861872.56157,12222468738.54526,776064318515.1552,10242466108.149912,4646981510.912997
368.23387096774195,7.72297002374596e+16,1.5184912857170166e+16,41582423700.50713,12305204281.23359,776064318515.1552,10242466108.149912,4646981510.912997
368.2741935483871,7.727708642901888e+16,1.5286811483568872e+16,41607937624.41093,12387778572.28203,776064318515.1552,10242466108.149912,4646981510.912997
368.31451612903226,7.732438381667488e+16,1.538851151612162e+16,41633403734.04739,12470191931.366852,776064318515.1552,10242466108.149912,4646981510.912997
368.35483870967744,7.737159256685013e+16,1.549001334851595e+16,41658822119.022644,12552444677.515604,776064318515.1552,10242466108.149912,4646981510.912997
368.39516129032256,7.741871284565526e+16,1.5591317373640964e+16,41684192868.77483,12634537129.108826,776064318515.1552,10242466108.149912,4646981510.912997
368.43548387096774,7.746574481888986e+16,1.569242398358941e+16,41709516072.574646,12716469603.881716,776064318515.1552,10242466108.149912,4646981510.912997
368.4758064516129,7.751268865204253e+16,1.5793333569658512e+16,41734791819.525345,12798242418.92482,776064318515.1552,10242466108.149912,4646981510.912997
368.51612903225805,7.755954451029179e+16,1.5894046522352028e+16,41760020198.56322,12879855890.68569,776064318515.1552,10242466108.149912,4646981510.912997
368.55645161290323,7.760631255850678e+16,1.5994563231382368e+16,41785201298.45797,12961310334.970604,776064318515.1552,10242466108.149912,4646981510.912997
368.5967741935484,7.76529929612475e+16,1.6094884085671372e+16,41810335207.81288,13042606066.945198,776064318515.1552,10242466108.149912,4646981510.912997
368.63709677419354,7.769958588276552e+16,1.619500947335237e+16,41835422015.06513,13123743401.13613,776064318515.1552,10242466108.149912,4646981510.912997
368.6774193548387,7.774609148700482e+16,1.6294939781772312e+16,41860461808.48633,13204722651.43281,776064318515.1552,10242466108.149912,4646981510.912997
368.71774193548384,7.779250993760184e+16,1.6394675397492334e+16,41885454676.18246,13285544131.08786,776064318515.1552,10242466108.149912,4646981510.912997
368.758064516129,7.783884139788667e+16,1.649421670629061e+16,41910400706.09457,13366208152.71942,776064318515.1552,10242466108.149912,4646981510.912997
368.7983870967742,7.788508603088309e+16,1.6593564093162936e+16,41935299985.99879,13446715028.311628,776064318515.1552,10242466108.149912,4646981510.912997
368.83870967741933,7.793124399930934e+16,1.6692717942324836e+16,41960152603.50674,13527065069.21632,776064318515.1552,10242466108.149912,4646981510.912997
368.8790322580645,7.7977315465579e+16,1.6791678637213568e+16,41984958646.06599,13607258586.15466,776064318515.1552,10242466108.149912,4646981510.912997
368.9193548387097,7.802330059180098e+16,1.6890446560488928e+16,42009718200.960075,13687295889.217787,776064318515.1552,10242466108.149912,4646981510.912997
368.9596774193548,7.806919953978045e+16,1.6989022094035302e+16,42034431355.309006,13767177287.868484,776064318515.1552,10242466108.149912,4646981510.912997
369.0,7.811501247101954e+16,1.7087405618963668e+16,42059098196.0696,13846903090.942799,776064318515.1552,10242466108.149912,4646981510.912997
369.0,7.811501247101954e+16,1.7087405618963668e+16,42059098196.0696,13846903090.942799,776064318515.1552,10140041447.068413,4646981510.912997
369.0416666666667,7.796374636676685e+16,1.7188675013088852e+16,41977652700.111176,13928967479.054104,776064318515.1552,10140041447.068413,4646981510.912997
369.0833333333333,7.781277318232032e+16,1.728935691310962e+16,41896364919.58415,14010555787.056364,776064318515.1552,10140041447.068413,4646981510.912997
369.125,7.76620923504539e+16,1.7389453596815902e+16,41815234549.07968,14091669860.773174,776064318515.1552,10140041447.068413,4646981510.912997
369.1666666666667,7.751170330504058e+16,1.7488967334265156e+16,41734261283.78066,14172311539.762058,776064318515.1552,10140041447.068413,4646981510.912997
369.2083333333333,7.73616054810496e+16,1.7587900387807392e+16,41653444819.46024,14252482657.33476,776064318515.1552,10140041447.068413,4646981510.912997
369.25,7.721179831454374e+16,1.7686255012110142e+16,41572784852.48038,14332185040.57747,776064318515.1552,10140041447.068413,4646981510.912997
369.2916666666667,7.706228124267848e+16,1.77840334541822e+16,41492281079.79131,14411420510.370062,776064318515.1552,10140041447.068413,4646981510.912997
369.3333333333333,7.691305370369915e+16,1.7881237953398372e+16,41411933198.93016,14490190881.406153,776064318515.1552,10140041447.068413,4646981510.912997
369.375,7.676411513693832e+16,1.7977870741524262e+16,41331740908.01937,14568497962.21319,776064318515.1552,10140041447.068413,4646981510.912997
369.4166666666667,7.661546498281491e+16,1.807393404273981e+16,41251703905.76636,14646343555.17152,776064318515.1552,10140041447.068413,4646981510.912997
369.4583333333333,7.646710268283136e+16,1.816943007366369e+16,41171821891.4619,14723729456.534166,776064318515.1552,10140041447.068413,4646981510.912997
369.5,7.631902767957109e+16,1.8264361043378084e+16,41092094564.97881,14800657456.4469,776064318515.1552,10140041447.068413,4646981510.912997
369.5416666666667,7.617123941669747e+16,1.8358729153451756e+16,41012521626.7714,14877129338.966932,776064318515.1552,10140041447.068413,4646981510.912997
369.5833333333333,7.602373733895125e+16,1.845253659796444e+16,40933102777.87402,14953146882.082697,776064318515.1552,10140041447.068413,4646981510.912997
369.625,7.587652089214776e+16,1.854578556353121e+16,40853837719.89964,15028711857.733578,776064318515.1552,10140041447.068413,4646981510.912997
369.6666666666667,7.572958952317613e+16,1.863847822932545e+16,40774726155.03939,15103826031.828535,776064318515.1552,10140041447.068413,4646981510.912997
369.7083333333333,7.558294267999651e+16,1.8730616767103064e+16,40695767786.06104,15178491164.265718,776064318515.1552,10140041447.068413,4646981510.912997
369.75,7.54365798116375e+16,1.8822203341226444e+16,40616962316.307655,15252709008.951893,776064318515.1552,10140041447.068413,4646981510.912997
369.7916666666667,7.529050036819522e+16,1.89132401086874e+16,40538309449.69708,15326481313.821016,776064318515.1552,10140041447.068413,4646981510.912997
369.8333333333333,7.514470380083061e+16,1.9003729219131016e+16,40459808890.7205,15399809820.853575,776064318515.1552,10140041447.068413,4646981510.912997
369.875,7.499918956176688e+16,1.909367281487953e+16,40381460344.441025,15472696266.095934,776064318515.1552,10140041447.068413,4646981510.912997
369.9166666666667,7.485395710428853e+16,1.9183073030954916e+16,40303263516.493195,15545142379.678642,776064318515.1552,10140041447.068413,4646981510.912997
