# (n,g)     reaction
# E_in [eV]   sigma[barns]
5.591366e-01  1.026939e+03
5.596970e-01  9.901768e+02
5.602574e-01  9.551085e+02
5.608178e-01  9.216497e+02
5.613783e-01  8.897188e+02
5.619387e-01  8.592382e+02
5.624991e-01  8.301337e+02
5.630595e-01  8.023345e+02
5.636200e-01  7.757736e+02
5.641804e-01  7.503872e+02
5.647408e-01  7.261148e+02
5.653012e-01  7.028991e+02
5.658616e-01  6.806860e+02
5.664220e-01  6.594240e+02
5.669825e-01  6.390647e+02
5.675429e-01  6.195623e+02
5.681033e-01  6.008733e+02
5.686637e-01  5.829568e+02
5.692242e-01  5.657741e+02
5.697846e-01  5.492887e+02
5.703450e-01  5.334662e+02
5.709054e-01  5.182738e+02
5.714658e-01  5.036808e+02
5.720262e-01  4.896581e+02
5.725867e-01  4.761782e+02
5.731471e-01  4.632151e+02
5.737075e-01  4.507443e+02
5.742679e-01  4.387426e+02
5.748283e-01  4.271880e+02
5.759492e-01  4.053382e+02
5.770700e-01  3.850418e+02
5.781909e-01  3.661616e+02
5.793117e-01  3.485744e+02
5.804326e-01  3.321695e+02
5.815534e-01  3.168475e+02
5.826742e-01  3.025184e+02
5.837951e-01  2.891013e+02
5.849159e-01  2.765230e+02
5.860367e-01  2.647172e+02
5.871576e-01  2.536240e+02
5.882784e-01  2.431887e+02
5.893993e-01  2.333618e+02
5.905201e-01  2.240983e+02
5.916410e-01  2.153570e+02
5.927618e-01  2.071003e+02
5.938826e-01  1.992941e+02
5.950035e-01  1.919068e+02
5.961243e-01  1.849098e+02
5.972452e-01  1.782767e+02
5.983660e-01  1.719831e+02
5.994868e-01  1.660069e+02
6.006077e-01  1.603274e+02
6.017285e-01  1.549258e+02
6.028493e-01  1.497846e+02
6.039702e-01  1.448876e+02
6.050910e-01  1.402198e+02
6.062119e-01  1.357676e+02
6.073327e-01  1.315180e+02
6.084536e-01  1.274591e+02
6.095744e-01  1.235800e+02
6.106952e-01  1.198703e+02
6.118161e-01  1.163204e+02
6.129369e-01  1.129216e+02
6.140577e-01  1.096654e+02
6.151786e-01  1.065441e+02
6.162994e-01  1.035505e+02
6.174203e-01  1.006779e+02
6.185411e-01  9.791985e+01
6.196620e-01  9.527050e+01
6.207828e-01  9.272428e+01
6.219036e-01  9.027598e+01
6.239352e-01  8.607243e+01
6.259667e-01  8.214806e+01
6.273677e-01  7.959171e+01
6.287688e-01  7.714963e+01
6.301698e-01  7.481520e+01
6.315709e-01  7.258227e+01
6.329719e-01  7.044513e+01
6.343730e-01  6.839845e+01
6.357740e-01  6.643725e+01
6.371751e-01  6.455692e+01
6.385761e-01  6.275311e+01
6.399772e-01  6.102180e+01
6.413782e-01  5.935919e+01
6.427793e-01  5.776175e+01
6.441803e-01  5.622616e+01
6.455814e-01  5.474931e+01
6.483835e-01  5.196032e+01
6.511856e-01  4.937349e+01
6.539877e-01  4.696996e+01
6.567898e-01  4.473304e+01
6.595919e-01  4.264785e+01
