n_el  name      Q     A   Loss   Xfirst,cm   Yfirst,cm   Zfirst,cm    VXfirst     VYfirst     VZfirst     Xdev,cm     Ydev,cm     Zdev,cm     VXdev       VYdev       VZdev       Xc ,cm       Yc ,cm     Zc ,cm       O(11)       O(12)       O(13)       O(21)       O(22)       O(23)       O(31)       O(32)       O(33)   
  17  dtl     1.0   2.0    -4       5.703     -10.693     477.000  -0.0281318  -0.0132823   0.0000000       5.703     -10.693      27.000  -0.0281318  -0.0132823   0.0000000       0.000       0.000     450.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  18  dtl     1.0   2.0    -4      -9.131       8.180     489.600  -0.0131365  -0.0389100   0.0034780      -9.131       8.180       9.600  -0.0131365  -0.0389100   0.0034780       0.000       0.000     480.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  18  dtl     1.0   2.0    -4       5.235      12.709     491.400  -0.0313029   0.0433900   0.0002837       5.235      12.709      11.400  -0.0313029   0.0433900   0.0002837       0.000       0.000     480.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  18  dtl     1.0   2.0    -4      12.707      -3.796     492.000  -0.0177049  -0.0452703   0.0000133      12.707      -3.796      12.000  -0.0177049  -0.0452703   0.0000133       0.000       0.000     480.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  18  dtl     1.0   2.0    -4       4.318      10.885     493.200   0.0325746   0.0286593   0.0065632       4.318      10.885      13.200   0.0325746   0.0286593   0.0065632       0.000       0.000     480.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  18  dtl     1.0   2.0    -4      13.566      -2.658     493.800   0.1395501  -0.0519090   0.0012447      13.566      -2.658      13.800   0.1395501  -0.0519090   0.0012447       0.000       0.000     480.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  18  dtl     1.0   2.0    -4      -6.046      -8.451     495.000  -0.0218187   0.0146017   0.0041887      -6.046      -8.451      15.000  -0.0218187   0.0146017   0.0041887       0.000       0.000     480.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  18  dtl     1.0   2.0    -4       9.215      -7.094     495.600  -0.0032267   0.0192555   0.0004030       9.215      -7.094      15.600  -0.0032267   0.0192555   0.0004030       0.000       0.000     480.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  18  dtl     1.0   2.0    -4      -3.627      -0.089     496.200   0.0042961  -0.0074097   0.0015767      -3.627      -0.089      16.200   0.0042961  -0.0074097   0.0015767       0.000       0.000     480.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  18  dtl     1.0   2.0    -4       6.751      -3.245     496.800  -0.0037699  -0.0119063   0.0006549       6.751      -3.245      16.800  -0.0037699  -0.0119063   0.0006549       0.000       0.000     480.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  18  dtl     1.0   2.0    -4       2.093      -7.471     499.800  -0.0233550   0.0093838   0.0009273       2.093      -7.471      19.800  -0.0233550   0.0093838   0.0009273       0.000       0.000     480.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  18  dtl     1.0   2.0    -4      -5.498      -8.929     500.400  -0.0220050   0.0036503   0.0118557      -5.498      -8.929      20.400  -0.0220050   0.0036503   0.0118557       0.000       0.000     480.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  18  dtl     1.0   2.0    -4       7.480       8.958     501.600   0.0223329  -0.0046624   0.0069479       7.480       8.958      21.600   0.0223329  -0.0046624   0.0069479       0.000       0.000     480.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  18  dtl     1.0   2.0    -4      -6.482      -9.377     502.800  -0.0271301   0.0077233   0.0067805      -6.482      -9.377      22.800  -0.0271301   0.0077233   0.0067805       0.000       0.000     480.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  18  dtl     1.0   2.0    -4      -4.264     -11.654     508.800  -0.0293297  -0.0051437   0.0034706      -4.264     -11.654      28.800  -0.0293297  -0.0051437   0.0034706       0.000       0.000     480.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  18  dtl     1.0   2.0    -4      -0.729       1.559     509.400  -0.0112494  -0.0096341   0.0005879      -0.729       1.559      29.400  -0.0112494  -0.0096341   0.0005879       0.000       0.000     480.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  19  dtl     1.0   2.0    -4       2.632      14.206     516.600   0.0350839   0.0236673   0.0145550       2.632      14.206       6.600   0.0350839   0.0236673   0.0145550       0.000       0.000     510.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  19  dtl     1.0   2.0    -4       2.888      14.071     522.000   0.0402520   0.0834786   0.0148699       2.888      14.071      12.000   0.0402520   0.0834786   0.0148699       0.000       0.000     510.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  19  dtl     1.0   2.0    -4       5.692       7.024     525.000   0.0061134   0.0031254   0.0013200       5.692       7.024      15.000   0.0061134   0.0031254   0.0013200       0.000       0.000     510.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  19  dtl     1.0   2.0    -4      -6.544      -3.966     525.600  -0.0131148   0.0122100   0.0052408      -6.544      -3.966      15.600  -0.0131148   0.0122100   0.0052408       0.000       0.000     510.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  19  dtl     1.0   2.0    -4      -3.644      -3.605     525.600   0.0099415  -0.0056838   0.0000155      -3.644      -3.605      15.600   0.0099415  -0.0056838   0.0000155       0.000       0.000     510.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  19  dtl     1.0   2.0    -4       8.957       6.095     526.200   0.0148166  -0.0082108   0.0054668       8.957       6.095      16.200   0.0148166  -0.0082108   0.0054668       0.000       0.000     510.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  19  dtl     1.0   2.0    -4       0.258       9.042     526.800   0.0113443   0.0058794   0.0003519       0.258       9.042      16.800   0.0113443   0.0058794   0.0003519       0.000       0.000     510.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  19  dtl     1.0   2.0    -4       5.717       3.968     527.400  -0.0052574   0.0025712   0.0000130       5.717       3.968      17.400  -0.0052574   0.0025712   0.0000130       0.000       0.000     510.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
