 Nseed      iq         dt[nsec]         dW[MeV/u]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1       0.20317E+01      -0.41066E-01      -0.22085E+01      -0.67743E+02       0.11222E+01       0.24993E+03
      0      1       0.14497E+04      -0.40237E+00      -0.14741E+01       0.62539E+03       0.21736E+01       0.31123E+03
      0      1      -0.83915E+00       0.35356E-01      -0.93838E-01       0.11458E+03       0.18979E+01      -0.22167E+02
      0      1       0.72223E+00       0.49373E-02      -0.27796E+00       0.11937E+03       0.11387E+01      -0.35108E+02
      0      1      -0.76309E-01       0.20833E-01      -0.54597E+00       0.99863E+02       0.91080E+00       0.26660E+00
      0      1       0.79654E+03       0.49831E+00      -0.31152E+01       0.36812E+02       0.40013E+01       0.51281E+03
      0      1      -0.54447E-01       0.13547E-01       0.12627E+01       0.96306E+02       0.14375E+01      -0.57854E+02
      0      1       0.10656E+01      -0.10856E-01       0.61504E-02       0.75276E+02       0.14045E+01       0.15101E+02
      0      1       0.10686E+04      -0.84647E-01       0.86311E+00       0.55065E+03       0.55151E+01       0.83843E+02
      0      1      -0.17419E+00       0.50481E-01      -0.53261E+00       0.17541E+03       0.23554E+01      -0.10744E+03
      0      1       0.12883E+04      -0.34142E+00       0.12210E+01      -0.39349E+03      -0.17311E+01       0.95069E+02
      0      1      -0.12646E+00       0.56601E-02       0.10570E+01       0.11546E+03       0.92584E+00      -0.92724E+02
      0      1       0.10831E+03      -0.12740E+00      -0.32457E+01      -0.24318E+03      -0.76775E+00       0.48917E+03
      0      1       0.11623E+01       0.10825E-01      -0.95886E-01       0.10725E+03       0.75225E+00       0.51381E+01
      0      1      -0.31504E+01      -0.74645E-01      -0.36143E+01      -0.36226E+03      -0.25600E+01       0.36456E+03
      0      1       0.10540E+04      -0.22439E+00       0.51303E+00       0.33463E+03       0.13747E+01       0.21626E+03
      0      1       0.26414E+01      -0.29708E-02      -0.74152E+00      -0.35749E+03      -0.39255E+01       0.14309E+03
      0      1      -0.90101E+00       0.18218E-01      -0.91078E+00      -0.10259E+03      -0.56059E+00       0.12537E+02
      0      1       0.13112E+04      -0.33150E+00       0.12401E+01      -0.43369E+03       0.98836E+00      -0.13765E+03
      0      1       0.14049E+04      -0.41035E+00      -0.95614E+00      -0.21841E+03      -0.40159E+00      -0.49929E+02
      0      1       0.14628E+04      -0.42508E+00       0.39993E+00       0.24929E+02       0.72592E+00      -0.28517E+03
      0      1       0.50654E+03      -0.32498E+00       0.20106E+01      -0.84010E+03      -0.61247E+00      -0.74903E+03
      0      1       0.10622E+04      -0.35020E+00      -0.15374E+01       0.20808E+03       0.30660E+00       0.43952E+03
      0      1      -0.13822E+01       0.78276E-01       0.75449E+00       0.40272E+02       0.59611E+00      -0.13822E+03
      0      1      -0.19068E+01       0.32128E-01      -0.16366E+01      -0.30228E+02       0.59362E+00       0.10910E+03
      0      1       0.76310E+00       0.12873E-01      -0.54010E+00      -0.64726E+02      -0.67256E+00       0.10740E+03
      0      1       0.12587E+04      -0.40376E+00      -0.48803E+00       0.34581E+02       0.10398E+01       0.33498E+03
      0      1       0.14618E+04      -0.42497E+00       0.13414E+00      -0.48385E+02       0.30074E+00       0.22073E+03
      0      1       0.15357E+04      -0.40661E+00       0.14891E+01       0.61240E+03       0.22254E+01      -0.56745E+03
      0      1       0.28523E+00       0.42893E-02       0.11952E+01       0.57566E+02       0.61066E+00      -0.12005E+03
      0      1       0.51404E+00       0.10510E-01      -0.91133E+00       0.16412E+02       0.10751E+01       0.12198E+03
      0      1       0.49999E+00      -0.22642E-01       0.11022E+01      -0.69475E+02       0.51399E+00      -0.18509E+03
      0      1      -0.91900E+00       0.79861E-02      -0.45775E+00       0.56864E+01      -0.16650E+00       0.22543E+02
      0      1       0.12965E+04      -0.41213E+00       0.11500E+01      -0.62830E+02      -0.75395E+00      -0.18613E+03
      0      1      -0.25388E-01       0.19864E-01       0.68311E+00      -0.37196E+02      -0.90881E+00      -0.62179E+02
      0      1       0.12444E+04      -0.31496E+00       0.19952E+01      -0.40006E+03      -0.54431E+00      -0.35360E+03
      0      1       0.11122E+04      -0.32392E+00       0.12024E+01       0.16526E+03       0.75156E+00       0.54417E+02
